record_id,order_id,customer_id,customer_name,segment,region,state,city,sales_rep,product_id,product_name,category,channel,priority,order_date,ship_date,delivery_date,invoice_date,payment_date,units,unit_price,discount_pct,revenue,cost,profit,marketing_spend,satisfaction_score,support_tickets,renewal_likelihood,returned,warehouse_id,supplier_id,campaign
R001,ORD-1001,C001,Apex Labs,Enterprise,East,NY,New York,Mia Chen,P001,Analytics Starter,Software,Direct,High,2024-01-05,2024-01-06,2024-01-10,2024-01-05,2024-01-25,18,299,0.05,5112.90,2863.22,2249.68,425,91,1,88,No,W1,S01,Q1_Boost
R002,ORD-1002,C002,Blue Harbor,SMB,West,CA,San Diego,Liam Patel,P004,Sensor Kit,Hardware,Web,Normal,2024-01-12,2024-01-14,2024-01-19,2024-01-12,2024-02-02,42,79,0.10,2986.20,2030.62,955.58,230,78,2,73,No,W3,S03,Q1_Boost
R003,ORD-1003,C003,Cedar Works,Mid-Market,Central,IL,Chicago,Ava Brooks,P007,Data Audit,Services,Partner,Normal,2024-01-18,2024-01-20,2024-01-25,2024-01-18,2024-02-09,8,899,0.12,6328.96,3670.80,2658.16,520,84,1,80,No,W2,S04,Q1_Boost
R004,ORD-1004,C004,Delta Foods,Enterprise,South,TX,Austin,Noah Smith,P011,Priority Support,Support,Field,Urgent,2024-02-03,2024-02-04,2024-02-07,2024-02-03,2024-02-24,12,499,0.00,5988.00,3293.40,2694.60,610,96,0,94,No,W4,S06,Q1_Boost
R005,ORD-1005,C005,Evergreen Care,SMB,East,MA,Boston,Mia Chen,P002,Analytics Pro,Software,Web,High,2024-02-11,2024-02-13,2024-02-18,2024-02-11,2024-03-02,9,499,0.08,4131.72,2396.40,1735.32,360,86,1,82,No,W1,S01,Q1_Boost
R006,ORD-1006,C006,Falcon Retail,Mid-Market,West,WA,Seattle,Liam Patel,P005,Gateway Hub,Hardware,Partner,Normal,2024-02-19,2024-02-21,2024-02-27,2024-02-19,2024-03-13,35,129,0.07,4199.55,2939.69,1259.86,315,74,3,68,No,W3,S03,Q1_Boost
R007,ORD-1007,C007,Granite Bank,Enterprise,Central,OH,Columbus,Ava Brooks,P008,Migration Sprint,Services,Direct,High,2024-03-06,2024-03-07,2024-03-12,2024-03-06,2024-03-29,6,1200,0.10,6480.00,3758.40,2721.60,700,89,1,86,No,W2,S04,Spring_Launch
R008,ORD-1008,C008,Helio Energy,Mid-Market,South,GA,Atlanta,Noah Smith,P003,Forecast Module,Software,Field,Urgent,2024-03-21,2024-03-20,2024-03-26,2024-03-21,2024-04-10,14,399,0.15,4748.10,3086.27,1661.83,490,61,6,55,Yes,W4,S02,Spring_Launch
R009,ORD-1009,C009,Ion Freight,SMB,East,PA,Philadelphia,Mia Chen,P006,Edge Device,Hardware,Web,Low,2024-03-28,2024-03-30,2024-04-04,2024-03-28,2024-04-18,28,149,0.06,3921.68,2705.96,1215.72,290,76,2,70,No,W1,S03,Spring_Launch
R010,ORD-1010,C010,Juniper Media,Mid-Market,West,CA,Los Angeles,Liam Patel,P009,Team Training,Training,Direct,Normal,2024-04-08,2024-04-09,2024-04-12,2024-04-08,2024-04-26,16,199,0.05,3024.80,1663.64,1361.16,260,93,0,91,No,W3,S05,Spring_Launch
R011,ORD-1011,C011,Keystone Health,Enterprise,Central,MI,Detroit,Ava Brooks,P012,Managed Support,Support,Partner,High,2024-04-15,2024-04-17,2024-04-22,2024-04-15,2024-05-08,11,699,0.08,7075.32,3891.43,3183.89,660,88,1,84,No,W2,S06,Spring_Launch
R012,ORD-1012,C012,Lumen Schools,SMB,South,FL,Orlando,Noah Smith,P010,Admin Workshop,Training,Web,Normal,2024-04-24,2024-04-25,2024-04-30,2024-04-24,2024-05-14,22,129,0.10,2554.20,1455.89,1098.31,210,81,2,77,No,W4,S05,Spring_Launch
R013,ORD-1013,C013,Metro Finance,Enterprise,East,NJ,Jersey City,Mia Chen,P002,Analytics Pro,Software,Direct,High,2024-05-03,2024-05-05,2024-05-09,2024-05-03,2024-05-27,21,499,0.12,9221.52,5256.27,3965.25,880,92,0,90,No,W1,S01,Summer_Trials
R014,ORD-1014,C014,Northstar Logistics,Mid-Market,West,AZ,Phoenix,Liam Patel,P004,Sensor Kit,Hardware,Partner,Urgent,2024-05-13,2024-05-16,2024-05-14,2024-05-13,2024-06-04,55,79,0.08,3997.40,2878.13,1119.27,330,58,7,50,Yes,W3,S03,Summer_Trials
R015,ORD-1015,C015,Oak & Pine,SMB,Central,MO,St Louis,Ava Brooks,P007,Data Audit,Services,Web,Normal,2024-05-22,2024-05-24,2024-05-29,2024-05-22,2024-06-12,5,899,0.10,4045.50,2346.39,1699.11,345,85,1,82,No,W2,S04,Summer_Trials
R016,ORD-1016,C016,Pinnacle Auto,Enterprise,South,NC,Charlotte,Noah Smith,P001,Analytics Starter,Software,Field,High,2024-06-04,2024-06-05,2024-06-09,2024-06-04,2024-06-28,30,299,0.07,8342.10,4755.00,3587.10,780,90,1,87,No,W4,S01,Summer_Trials
R017,ORD-1017,C001,Apex Labs,Enterprise,East,NY,New York,Mia Chen,P005,Gateway Hub,Hardware,Direct,Normal,2024-06-14,2024-06-16,2024-06-21,2024-06-14,2024-07-05,48,129,0.06,5820.48,4132.54,1687.94,455,82,2,79,No,W1,S03,Summer_Trials
R018,ORD-1018,C002,Blue Harbor,SMB,West,CA,San Diego,Liam Patel,P009,Team Training,Training,Web,Low,2024-06-25,2024-06-27,2024-07-01,2024-06-25,2024-07-15,12,199,0.15,2029.80,1217.88,811.92,170,79,2,73,No,W3,S05,Summer_Trials
R019,ORD-1019,C003,Cedar Works,Mid-Market,Central,IL,Chicago,Ava Brooks,P003,Forecast Module,Software,Partner,High,2024-07-08,2024-07-10,2024-07-15,2024-07-08,2024-08-01,19,399,0.09,6890.31,4203.09,2687.22,610,87,1,83,No,W2,S02,Fall_Pipeline
R020,ORD-1020,C004,Delta Foods,Enterprise,South,TX,Austin,Noah Smith,P008,Migration Sprint,Services,Direct,High,2024-07-18,2024-07-19,2024-07-24,2024-07-18,2024-08-09,7,1200,0.08,7728.00,4482.24,3245.76,840,94,0,93,No,W4,S04,Fall_Pipeline
R021,ORD-1021,C005,Evergreen Care,SMB,East,MA,Boston,Mia Chen,P006,Edge Device,Hardware,Web,Normal,2024-07-29,2024-07-31,2024-08-05,2024-07-29,2024-08-19,33,149,0.10,4425.30,3141.96,1283.34,340,75,3,69,No,W1,S03,Fall_Pipeline
R022,ORD-1022,C006,Falcon Retail,Mid-Market,West,WA,Seattle,Liam Patel,P011,Priority Support,Support,Partner,Urgent,2024-08-09,2024-08-10,2024-08-14,2024-08-09,2024-08-05,9,499,0.05,4266.45,2346.55,1919.90,430,64,5,58,Yes,W3,S06,Fall_Pipeline
R023,ORD-1023,C007,Granite Bank,Enterprise,Central,OH,Columbus,Ava Brooks,P002,Analytics Pro,Software,Direct,High,2024-08-20,2024-08-22,2024-08-26,2024-08-20,2024-09-13,24,499,0.10,10778.40,6143.69,4634.71,960,91,1,89,No,W2,S01,Fall_Pipeline
R024,ORD-1024,C008,Helio Energy,Mid-Market,South,GA,Atlanta,Noah Smith,P010,Admin Workshop,Training,Field,Normal,2024-09-03,2024-09-05,2024-09-10,2024-09-03,2024-09-23,18,129,0.08,2136.24,1239.02,897.22,190,80,2,75,No,W4,S05,Fall_Pipeline
R025,ORD-1025,C009,Ion Freight,SMB,East,PA,Philadelphia,Mia Chen,P001,Analytics Starter,Software,Web,Normal,2024-09-15,2024-09-17,2024-09-22,2024-09-15,2024-10-05,13,299,0.05,3689.15,2102.82,1586.33,305,83,1,79,No,W1,S01,Fall_Pipeline
R026,ORD-1026,C010,Juniper Media,Mid-Market,West,CA,Los Angeles,Liam Patel,P007,Data Audit,Services,Partner,High,2024-09-26,2024-09-28,2024-10-03,2024-09-26,2024-10-20,10,899,0.12,7911.20,4588.50,3322.70,725,86,1,82,No,W3,S04,Fall_Pipeline
R027,ORD-1027,C011,Keystone Health,Enterprise,Central,MI,Detroit,Ava Brooks,P004,Sensor Kit,Hardware,Direct,Normal,2024-10-07,2024-10-09,2024-10-14,2024-10-07,2024-10-29,60,79,0.07,4408.20,3173.90,1234.30,365,77,3,70,No,W2,S03,Renewal_Drive
R028,ORD-1028,C012,Lumen Schools,SMB,South,FL,Orlando,Noah Smith,P012,Managed Support,Support,Web,High,2024-10-18,2024-10-19,2024-10-23,2024-10-18,2024-11-08,8,699,0.10,5032.80,2768.04,2264.76,470,87,1,84,No,W4,S06,Renewal_Drive
R029,ORD-1029,C013,Metro Finance,Enterprise,East,NJ,Jersey City,Mia Chen,P003,Forecast Module,Software,Direct,High,2024-11-01,2024-11-03,2024-11-08,2024-11-01,2024-11-25,26,399,0.08,9544.08,5821.89,3722.19,900,90,1,87,No,W1,S02,Renewal_Drive
R030,ORD-1030,C014,Northstar Logistics,Mid-Market,West,AZ,Phoenix,Liam Patel,P005,Gateway Hub,Hardware,Partner,Normal,2024-11-12,2024-11-14,2024-11-19,2024-11-12,2024-12-02,44,129,0.12,4994.88,3596.31,1398.57,410,72,4,66,No,W3,S03,Renewal_Drive
R031,ORD-1031,C015,Oak & Pine,SMB,Central,MO,St Louis,Ava Brooks,P009,Team Training,Training,Web,Low,2024-11-23,2024-11-25,2024-11-30,2024-11-23,,15,199,0.05,2835.75,1701.45,1134.30,235,70,4,63,No,W2,S05,Renewal_Drive
R032,ORD-1032,C016,Pinnacle Auto,Enterprise,South,NC,Charlotte,Noah Smith,P008,Migration Sprint,Services,Field,Urgent,2024-12-05,2024-12-06,2024-12-11,2024-12-05,2024-12-29,9,1200,0.06,10152.00,5888.16,4263.84,980,93,0,92,No,W4,S04,Renewal_Drive
R033,ORD-1033,C001,Apex Labs,Enterprise,East,NY,New York,Mia Chen,P011,Priority Support,Support,Direct,High,2024-12-17,2024-12-18,2024-12-22,2024-12-17,2025-01-09,10,499,0.05,4740.50,2607.28,2133.22,465,89,1,86,No,W1,S06,Renewal_Drive
R034,ORD-1034,C002,Blue Harbor,SMB,West,CA,San Diego,Liam Patel,P010,Admin Workshop,Training,Web,Normal,2025-01-08,2025-01-10,2025-01-15,2025-01-08,2025-01-28,20,129,0.12,2270.40,1316.83,953.57,180,78,2,72,No,W3,S05,Q1_Expansion
R035,ORD-1035,C003,Cedar Works,Mid-Market,Central,IL,Chicago,Ava Brooks,P002,Analytics Pro,Software,Partner,High,2025-01-19,2025-01-21,2025-01-25,2025-01-19,2025-02-12,17,499,0.08,7804.36,4448.49,3355.87,720,88,1,85,No,W2,S01,Q1_Expansion
R036,ORD-1036,C004,Delta Foods,Enterprise,South,TX,Austin,Noah Smith,P006,Edge Device,Hardware,Field,Normal,2025-02-02,2025-02-04,2025-02-09,2025-02-02,2025-02-25,75,149,0.10,10057.50,7140.83,2916.67,760,79,3,74,No,W4,S03,Q1_Expansion
R037,ORD-1037,C005,Evergreen Care,SMB,East,MA,Boston,Mia Chen,P007,Data Audit,Services,Web,Normal,2025-02-14,2025-02-16,2025-02-21,2025-02-14,2025-03-06,4,899,0.10,3236.40,1877.11,1359.29,280,84,1,80,No,W1,S04,Q1_Expansion
R038,ORD-1038,C006,Falcon Retail,Mid-Market,West,WA,Seattle,Liam Patel,P001,Analytics Starter,Software,Partner,High,2025-02-26,2025-02-28,2025-03-04,2025-02-26,2025-03-19,25,299,0.07,6951.75,3962.50,2989.25,610,86,1,82,No,W3,S01,Q1_Expansion
R039,ORD-1039,C007,Granite Bank,Enterprise,Central,OH,Columbus,Ava Brooks,P004,Sensor Kit,Hardware,Direct,Urgent,2025-03-10,2025-03-13,2025-03-18,2025-03-10,2025-04-02,80,79,0.05,6004.00,4322.88,1681.12,520,59,8,48,Yes,W2,S03,Product_Push
R040,ORD-1040,C008,Helio Energy,Mid-Market,South,GA,Atlanta,Noah Smith,P012,Managed Support,Support,Field,High,2025-03-22,2025-03-23,2025-03-27,2025-03-22,2025-04-14,7,699,0.12,4305.84,2368.21,1937.63,405,83,2,78,No,W4,S06,Product_Push
R041,ORD-1041,C009,Ion Freight,SMB,East,PA,Philadelphia,Mia Chen,P009,Team Training,Training,Web,Low,2025-04-04,2025-04-06,2025-04-10,2025-04-04,2025-04-24,14,199,0.15,2368.10,1420.86,947.24,195,76,3,70,No,W1,S05,Product_Push
R042,ORD-1042,C010,Juniper Media,Mid-Market,West,CA,Los Angeles,Liam Patel,P003,Forecast Module,Software,Partner,High,2025-04-15,2025-04-17,2025-04-22,2025-04-15,2025-05-08,22,399,0.10,7900.20,4819.12,3081.08,720,88,1,85,No,W3,S02,Product_Push
R043,ORD-1043,C011,Keystone Health,Enterprise,Central,MI,Detroit,Ava Brooks,P008,Migration Sprint,Services,Direct,High,2025-04-27,2025-04-28,2025-05-03,2025-04-27,2025-05-21,8,1200,0.08,8832.00,5122.56,3709.44,900,92,0,90,No,W2,S04,Product_Push
R044,ORD-1044,C012,Lumen Schools,SMB,South,FL,Orlando,Noah Smith,P005,Gateway Hub,Hardware,Web,Normal,2025-05-09,2025-05-11,2025-05-16,2025-05-09,2025-05-29,50,129,0.10,5805.00,4179.60,1625.40,450,77,3,71,No,W4,S03,Product_Push
R045,ORD-1045,C013,Metro Finance,Enterprise,East,NJ,Jersey City,Mia Chen,P011,Priority Support,Support,Direct,High,2025-05-21,2025-05-22,2025-05-26,2025-05-21,2025-06-13,13,499,0.04,6227.52,3425.14,2802.38,615,95,0,94,No,W1,S06,Retention_Sprint
R046,ORD-1046,C014,Northstar Logistics,Mid-Market,West,AZ,Phoenix,Liam Patel,P002,Analytics Pro,Software,Partner,High,2025-06-02,2025-06-04,2025-06-09,2025-06-02,2025-06-25,18,499,0.12,7904.16,4505.37,3398.79,730,84,2,80,No,W3,S01,Retention_Sprint
